SchoolYear,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,ReportCategory,ReportSubGroup,AttendanceRate
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,English Learners,Not English Learners,79.16
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,5,81.84
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,7,82.39
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,6,82.5
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,8,81.53
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,3,82.14
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Students with Disabilities,Students without IEP,80.99
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Students with Disabilities,Students with Disabilities,76.83
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,All,80.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,0,79.7
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,11,77.6
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,9,78.62
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,American Indian or Alaska Native,78.67
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,Asian,87.26
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,10,77.34
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,12,73.98
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Gender,Male,79.52
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Migrant Status,Not Migrant,80.3
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Gender,Female,81.12
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,English Learners,English Learners,87.95
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,"Black, not of Hispanic origin",78.97
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Economically Disadvantaged,Not Economically Disadvantaged,85.19
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,Hispanic,87.55
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,Native Hawaiian or Other Pacific Islander,86.36
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,4,82.47
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,"White, not of Hispanic origin",82.13
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,1,80.96
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Economically Disadvantaged,Economically Disadvantaged,79.64
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Homeless,Homeless,68.42
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Homeless,Not Homeless,80.49
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Ethnicity,Two or More Races,81.28
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,Grade,2,82.05
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,7,77.06
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,Asian,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Economically Disadvantaged,Not Economically Disadvantaged,78.14
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Students with Disabilities,Students without IEP,75.27
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,8,71.73
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,Hispanic,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,English Learners,Not English Learners,74.77
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,English Learners,English Learners,78.01
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Gender,Female,75.38
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Ethnicity,Native Hawaiian or Other Pacific Islander,*
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,0,75.03
2017-2018,82,Wayne RESA,82015,Detroit Public Schools Community District,4,Henderson Academy,Grade,6,75.5
