SchoolYear,ISD_Code,ISD_OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,EntityType,IHE_Type,Subgroup,Gender,Total_Graduates_All_Students,Total_Enrolled_in_an_IHE_within_0_6_months,Total_%_Enrolled_in_an_IHE_within_0_6_months,Total_Enrolled_in_an_IHE_within_0_12_months,Total_%_Enrolled_in_an_IHE_within_0_12_months,Total_Enrolled_in_an_IHE_within_0_16_months,Total_%_Enrolled_in_an_IHE_within_0_16_months,Total_Enrolled_in_an_IHE_within_0_24_months,Total_%_Enrolled_in_an_IHE_within_0_24_months,Total_Enrolled_in_an_IHE_within_0_36_months,Total_%_Enrolled_in_an_IHE_within_0_36_months,Total_Enrolled_in_an_IHE_within_0_48_months,Total_%_Enrolled_in_an_IHE_within_0_48_months,Total_Accumulating_24_Credits_within_0_12_months,Total_%_Accumulating_24_Credits_within_0_12_months,Total_Accumulating_24_Credits_within_0_16_months,Total_%_Accumulating_24_Credits_within_0_16_months,Total_Accumulating_24_Credits_within_0_24_months,Total_%_Accumulating_24_Credits_within_0_24_months,Total_Accumulating_24_Credits_within_0_36_months,Total_%_Accumulating_24_Credits_within_0_36_months,Total_Accumulating_24_Credits_within_0_48_months,Total_%_Accumulating_24_Credits_within_0_48_months
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,All Students,Male,1128,356,31.5603,366,32.4468,,,,,,,,,227,20.1241,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Two Year,All Students,Female,1499,256,17.0781,296,19.7465,,,,,,,,,34,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,American Indian or Alaska Native,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,English Learners,All Students,218,40,18.3486,41,18.8073,,,,,,,,,18,8.2569,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,White,All Students,36,16,44.4444,16,44.4444,,,,,,,,,10,27.7778,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Hispanic/Latino,Male,140,58,41.4286,66,47.1429,,,,,,,,,25,17.8571,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Hispanic/Latino,All Students,293,70,23.8908,73,24.9147,,,,,,,,,43,14.6758,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,All Students,Female,1499,893,59.5731,950,63.3756,,,,,,,,,484,32.2882,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Two or More Races,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,Homeless,All Students,<10,<10,22.2222,<10,33.3333,,,,,,,,,<10,11.1111,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,All,African American,Female,1290,780,60.4651,828,64.1861,,,,,,,,,426,33.0233,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Two or More Races,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,>95%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,,LEA District,Four Year,Hispanic/Latino,Male,140,33,23.5714,35,25,,,,,,,,,21,15,,,,,,,,
